year,quarter,period_end,region_code,org_code,org_name,sector,available_beds,occupied_beds,occupancy_rate
2025-26,Q2,September,Y60,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,General & Acute,530.1739130434783,479.0217391304348,90.35181236673775
2025-26,Q2,September,Y60,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,General & Acute,11.869565217391305,8.847826086956522,74.54212454212454
2025-26,Q2,September,Y60,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,General & Acute,443.0652173913044,398.57608695652175,89.95878514302537
2025-26,Q2,September,Y60,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,General & Acute,1400.0,1204.9021739130435,86.06444099378882
2025-26,Q2,September,Y60,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,General & Acute,671.5217391304348,621.4565217391304,92.54451278730981
2025-26,Q2,September,Y60,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,General & Acute,1075.0326086956522,1069.3804347826087,99.47423232864524
2025-26,Q2,September,Y60,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,General & Acute,128.1086956521739,101.84782608695652,79.50110300356354
2025-26,Q2,September,Y60,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,General & Acute,806.9021739130435,753.3478260869565,93.36296894995621
2025-26,Q2,September,Y60,RLQ,WYE VALLEY NHS TRUST,General & Acute,296.29347826086956,291.4891304347826,98.37851718698411
2025-26,Q2,September,Y60,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,General & Acute,368.4673913043478,365.1630434782609,99.10321838402312
2025-26,Q2,September,Y60,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,General & Acute,527.1195652173913,509.82608695652175,96.71924940715539
2025-26,Q2,September,Y60,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,General & Acute,696.945652173913,626.4673913043479,89.88755283145403
2025-26,Q2,September,Y60,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,General & Acute,197.0,119.54347826086956,60.68196866033988
2025-26,Q2,September,Y60,RRE,MIDLANDS PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,General & Acute,140.0,133.70652173913044,95.50465838509317
2025-26,Q2,September,Y60,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,General & Acute,97.41304347826087,70.26086956521739,72.1267574202187
2025-26,Q2,September,Y60,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,General & Acute,2725.4347826086955,2672.1739130434785,98.04578447794529
2025-26,Q2,September,Y60,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,General & Acute,1430.304347826087,1317.6304347826087,92.12238198011977
2025-26,Q2,September,Y60,RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,General & Acute,983.5,820.3913043478261,83.41548595300723
2025-26,Q2,September,Y60,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,General & Acute,1723.8260869565217,1573.8152173913043,91.29779560129136
2025-26,Q2,September,Y60,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,General & Acute,883.8478260869565,801.2826086956521,90.65843520181026
2025-26,Q2,September,Y60,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,General & Acute,1662.7391304347825,1456.0,87.56635201213294
2025-26,Q2,September,Y60,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,General & Acute,564.6739130434783,499.2608695652174,88.41578440808469
2025-26,Q2,September,Y60,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,General & Acute,776.554347826087,721.5434782608696,92.91603096174573
2025-26,Q2,September,Y60,RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,General & Acute,242.47826086956522,159.8804347826087,65.93598708983323
2025-26,Q2,September,Y61,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,General & Acute,1689.9130434782608,1626.5978260869565,96.2533446536997
2025-26,Q2,September,Y61,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,General & Acute,1048.2065217391305,991.1847826086956,94.56006636594597
