region_name,Q1,Q2,Q3,Q4
EAST OF ENGLAND,88.54962454045314,88.51232065233296,89.2830403131963,90.28722923905846
LONDON,88.94507122370779,88.59037679193601,89.48854011995357,89.95243208756294
MIDLANDS,89.37935500467935,89.31697082473094,89.5318777108398,90.22754048372565
NORTH EAST AND YORKSHIRE,87.78930846431187,86.88350085768829,88.06480778951766,88.76486057768427
NORTH WEST,89.56573675519097,89.09112436043806,88.84640501278625,90.88442964236377
SOUTH EAST,89.77495976417413,89.50032541216272,89.12905213671462,89.31892616724978
SOUTH WEST,91.15110333874175,90.99785123907049,91.57827823537671,91.95715419201268
