sector,avg_occupancy_rate,avg_available_beds,avg_occupied_beds,provider_quarter_records
General & Acute,88.92648276006592,678.0764798003928,621.0017896892844,610
Mental Illness,84.45543383143806,319.10099914965986,284.20918887552233,224
Maternity,61.2201329234945,63.06133807531323,38.519546412869396,462
Learning Disabilities,59.310965809739095,23.56722462868708,14.465339798541379,121
