quarter,providers_reported,avg_occupancy_rate,providers_above_92,providers_above_95,pct_providers_above_92,pct_providers_above_95
Q1,153,88.76193829327285,65,32,42.48366013071895,20.915032679738562
Q2,154,88.26941777126162,61,31,39.61038961038961,20.12987012987013
Q3,154,89.00498702919757,70,37,45.45454545454545,24.025974025974026
Q4,149,89.69342003690439,82,43,55.033557046979865,28.859060402684566
