quarter,providers_reported,providers_above_92,providers_above_95,pct_providers_above_92,pct_providers_above_95
Q1,183,53,15,28.96174863387978,8.19672131147541
Q2,184,50,9,27.173913043478258,4.891304347826087
Q3,184,48,15,26.08695652173913,8.152173913043478
Q4,184,59,27,32.065217391304344,14.673913043478262
