region_name,avg_occupancy_total,avg_occupancy_general_acute,avg_available_total,avg_occupied_total
SOUTH WEST,91.42109675130041,93.68705037936822,12109.59712268408,11070.877200456547
MIDLANDS,89.61393600599393,91.85936734889412,24294.838595583158,21770.763092583744
NORTH WEST,89.59692394269476,92.13954242865918,19183.441717762915,17185.210136964488
SOUTH EAST,89.43081587007532,91.6115006618749,17585.115295694646,15726.495136566331
LONDON,89.24410505579007,90.91510114411466,20625.3439859054,18407.380818336253
EAST OF ENGLAND,89.15805368626022,91.4598927344789,13442.66259754738,11982.781990231992
NORTH EAST AND YORKSHIRE,87.87561942230053,90.27714173127916,22031.812899479744,19361.56326909805
