year,quarter,period_end,region_code,org_code,org_name,available_total,occupied_total,occupancy_total,available_general_acute,occupied_general_acute,occupancy_general_acute,available_learning_disabilities,occupied_learning_disabilities,occupancy_learning_disabilities,available_maternity,occupied_maternity,occupancy_maternity,available_mental_illness,occupied_mental_illness,occupancy_mental_illness,occupancy_band,high_occupancy_92,high_occupancy_95
2025-26,Q1,June,Y61,R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,687.0,581.978021978022,84.71295807540349,87.0,69.0989010989011,79.42402425161046,10.0,6.450549450549451,64.50549450549451,0.0,0.0,,590.0,506.42857142857144,85.83535108958839,Below 85%,False,False
2025-26,Q1,June,Y61,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,1853.1538461538462,1738.1978021978023,93.79673499884366,1720.1538461538462,1653.2967032967033,96.11330445781748,0.0,0.0,,133.0,84.9010989010989,63.835412707593164,0.0,0.0,,92–94.9% High occupancy,True,False
2025-26,Q1,June,Y61,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,1112.978021978022,1045.8241758241759,93.96629180201617,1046.043956043956,978.8901098901099,93.58020800504254,0.0,0.0,,66.93406593406593,66.93406593406593,100.0,0.0,0.0,,92–94.9% High occupancy,True,False
2025-26,Q1,June,Y61,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",507.64835164835165,483.34065934065933,95.21170664126764,488.64835164835165,469.7692307692308,96.13646074617131,0.0,0.0,,19.0,13.571428571428571,71.42857142857143,0.0,0.0,,95%+ Very high occupancy,True,True
2025-26,Q1,June,Y61,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,587.0,494.2307692307692,84.19604245839339,544.0,461.7692307692308,84.88404977375565,0.0,0.0,,43.0,32.46153846153846,75.49194991055455,0.0,0.0,,Below 85%,False,False
2025-26,Q1,June,Y61,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,1292.2417582417581,1205.4395604395604,93.28282055206898,1228.2417582417581,1164.7142857142858,94.82777131609556,0.0,0.0,,64.0,40.72527472527472,63.63324175824175,0.0,0.0,,92–94.9% High occupancy,True,False
2025-26,Q1,June,Y61,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,264.97802197802196,182.65934065934067,68.93377016547092,264.97802197802196,182.65934065934067,68.93377016547092,0.0,0.0,,0.0,0.0,,0.0,0.0,,Below 85%,False,False
2025-26,Q1,June,Y61,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,1070.131868131868,904.7802197802198,84.548479185065,961.1318681318681,859.0879120879121,89.38293907137876,0.0,0.0,,109.0,45.69230769230769,41.919548341566696,0.0,0.0,,Below 85%,False,False
2025-26,Q1,June,Y61,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,456.6373626373626,351.989010989011,77.08283197766761,426.6373626373626,340.2197802197802,79.74448794560067,0.0,0.0,,30.0,11.76923076923077,39.23076923076923,0.0,0.0,,Below 85%,False,False
2025-26,Q1,June,Y61,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,493.35164835164835,413.010989010989,83.71533578349482,452.35164835164835,397.05494505494505,87.77572636284133,0.0,0.0,,41.0,15.956043956043956,38.91718038059502,0.0,0.0,,Below 85%,False,False
