year,quarter,period_end,region_code,region_name,available_total,occupied_total,occupancy_total,available_general_acute,occupied_general_acute,occupancy_general_acute,available_learning_disabilities,occupied_learning_disabilities,occupancy_learning_disabilities,available_maternity,occupied_maternity,occupancy_maternity,available_mental_illness,occupied_mental_illness,occupancy_mental_illness,quarter_order
2025-26,Q1,June,Y61,EAST OF ENGLAND,13486.769230769232,11942.483516483515,88.54962454045314,11057.329670329671,10036.747252747253,90.77008239773329,60.0,34.2967032967033,57.16117216117217,822.89010989011,506.40659340659346,61.54000240374985,1546.5494505494507,1365.032967032967,88.26313096862208,1
2025-26,Q1,June,Y56,LONDON,20207.186813186818,17973.296703296703,88.94507122370779,15855.923076923076,14354.659340659342,90.53184271277972,23.10989010989011,15.10989010989011,65.38278649548265,1277.032967032967,820.6373626373625,64.2612511832028,3051.1208791208787,2782.8901098901097,91.20877933528303,1
2025-26,Q1,June,Y60,MIDLANDS,24775.714285714283,22144.373626373625,89.37935500467935,19941.087912087907,18224.63736263736,91.39239264669172,190.47252747252747,122.87912087912088,64.51277909190561,1480.2527472527472,996.2857142857142,67.30510827524256,3163.9010989010994,2800.5714285714284,88.51640241043361,1
2025-26,Q1,June,Y63,NORTH EAST AND YORKSHIRE,21941.76923076923,19262.52747252747,87.78930846431187,17637.86813186813,15909.65934065934,90.20171384496146,241.0,154.89010989010987,64.26975514112443,1153.2417582417581,630.2857142857142,54.65338987088475,2909.6593406593406,2567.6923076923076,88.2471797234675,1
2025-26,Q1,June,Y62,NORTH WEST,19484.307692307695,17451.263736263736,89.56573675519097,15224.263736263738,14067.186813186814,92.39978403473921,139.27472527472528,60.92307692307692,43.74309610225659,958.2087912087912,572.6483516483516,59.762377146002734,3162.5604395604396,2750.5054945054944,86.97084362719038,1
2025-26,Q1,June,Y59,SOUTH EAST,17636.406593406595,15833.076923076922,89.77495976417413,14347.153846153848,13202.714285714288,92.0232293267953,47.13186813186813,34.120879120879124,72.3944975518769,1049.2417582417584,620.1098901098901,59.10076350268639,2192.879120879121,1976.1318681318683,90.11585952533676,1
2025-26,Q1,June,Y58,SOUTH WEST,12184.2967032967,11106.12087912088,91.15110333874175,10196.197802197803,9554.032967032968,93.70191862081751,17.0,10.142857142857142,59.66386554621849,623.9120879120878,348.56043956043953,55.86691559814007,1347.1868131868132,1193.3846153846155,88.58345432892311,1
2025-26,Q2,September,Y61,EAST OF ENGLAND,13372.73913043478,11836.521739130436,88.51232065233296,10957.695652173914,9946.717391304348,90.7738059811052,60.06521739130435,30.543478260869563,50.85052479189286,816.3478260869565,522.054347826087,63.94998934810396,1538.6304347826087,1337.2065217391305,86.90888282916767,2
2025-26,Q2,September,Y56,LONDON,20770.89130434783,18401.010869565216,88.59037679193601,15672.945652173916,14123.152173913044,90.11166431215241,50.815217391304344,35.54347826086956,69.94652406417113,1290.0652173913043,837.0869565217392,64.88718130192274,3757.0652173913045,3405.228260869565,90.63532475047012,2
2025-26,Q2,September,Y60,MIDLANDS,24644.532608695652,22011.75,89.31697082473094,19807.619565217392,18074.000000000004,91.24771374213154,190.77173913043478,122.02173913043478,63.96216739786907,1459.0434782608695,1011.0652173913043,69.29644198104774,3187.0978260869565,2804.6630434782614,88.00053203643769,2
2025-26,Q2,September,Y63,NORTH EAST AND YORKSHIRE,21892.771739130432,19021.20652173913,86.88350085768829,17467.065217391304,15541.152173913044,88.97403187365042,244.2173913043478,157.6195652173913,64.54068007833364,1157.217391304348,643.4565217391304,55.60377216711751,3024.271739130435,2678.978260869566,88.58259085011485,2
2025-26,Q2,September,Y62,NORTH WEST,19279.076086956524,17175.945652173912,89.09112436043806,15040.000000000002,13786.521739130432,91.66570305272893,134.04347826086956,56.86956521739131,42.42620823872852,948.1086956521739,556.6739130434783,58.71414486506317,3156.9239130434785,2775.880434782609,87.929912511147,2
2025-26,Q2,September,Y59,SOUTH EAST,17419.380434782608,15590.40217391304,89.50032541216272,14126.304347826088,12933.0,91.5526076853234,47.815217391304344,26.72826086956522,55.89906796999319,1056.4347826086955,634.4782608695652,60.058441023952604,2188.8260869565215,1996.195652173913,91.19937230598097,2
2025-26,Q2,September,Y58,SOUTH WEST,11998.826086956522,10918.673913043478,90.99785123907049,10048.347826086956,9351.054347826086,93.06061563224756,7.467391304347826,3.358695652173913,44.97816593886463,608.4239130434783,359.1847826086956,59.03528360875391,1334.586956521739,1205.0760869565217,90.29580883191348,2
2025-26,Q3,December,Y61,EAST OF ENGLAND,14459.608695652174,12909.978260869568,89.2830403131963,11881.58695652174,10857.130434782608,91.37778037994484,57.84782608695652,35.31521739130435,61.048478015783544,972.3152173913044,613.8478260869566,63.13259477043811,1547.858695652174,1403.684782608696,90.6855894889855,3
2025-26,Q3,December,Y56,LONDON,20694.59782608696,18519.293478260868,89.48854011995357,15654.271739130436,14254.282608695648,91.05682363405457,44.29347826086956,31.630434782608695,71.41104294478528,1276.1630434782608,838.7500000000001,65.72436055771804,3719.8695652173915,3394.6304347826085,91.25670605561204,3
2025-26,Q3,December,Y60,MIDLANDS,23709.663043478256,21227.70652173913,89.5318777108398,18986.978260869564,17420.010869565216,91.74714707219249,188.8695652173913,124.84782608695653,66.10267034990792,1311.8695652173915,875.5869565217391,66.74344612733238,3221.945652173913,2807.2608695652175,87.12936755066309,3
2025-26,Q3,December,Y63,NORTH EAST AND YORKSHIRE,21976.021739130436,19353.14130434783,88.06480778951766,17732.38043478261,16057.130434782606,90.55259384851708,237.29347826086956,148.8695652173913,62.73647565388668,1138.358695652174,616.9782608695651,54.19893248288439,2867.989130434783,2530.1630434782605,88.22080309260765,3
2025-26,Q3,December,Y62,NORTH WEST,19407.760869565216,17243.09782608696,88.84640501278625,15189.076086956524,13838.0,91.10494885125536,117.05434782608695,69.88043478260869,59.699136410065925,946.4782608695654,568.1304347826087,60.025724654324954,3155.1521739130435,2767.0869565217395,87.7005863425591,3
2025-26,Q3,December,Y59,SOUTH EAST,17585.663043478264,15673.934782608696,89.12905213671462,14290.304347826084,13068.369565217392,91.44920392969391,47.71739130434783,24.22826086956522,50.7744874715262,1037.5217391304348,592.5978260869565,57.116665968235345,2210.1195652173915,1988.7391304347825,89.98332767753071,3
2025-26,Q3,December,Y58,SOUTH WEST,12072.043478260872,11055.36956521739,91.57827823537671,10089.641304347828,9474.032608695652,93.898606728597,42.69565217391305,17.586956521739133,41.19144602851324,608.5434782608695,360.2717391304348,59.202300575143795,1331.1630434782608,1203.4782608695652,90.4080282851707,3
2025-26,Q4,March,Y61,EAST OF ENGLAND,12451.533333333335,11242.144444444446,90.28722923905846,10158.477777777778,9439.044444444444,92.91790217913226,53.06666666666666,35.41111111111111,66.72948073701843,728.0333333333333,407.81111111111113,56.01544495825894,1511.9555555555555,1359.8777777777777,89.94165025426966,4
2025-26,Q4,March,Y56,LONDON,20828.7,18735.922222222223,89.95243208756294,15861.533333333331,14586.277777777777,91.9600739174719,43.0,28.444444444444443,66.14987080103359,1319.2222222222222,869.6666666666667,65.92268171481514,3604.944444444445,3251.5333333333333,90.19648938957296,4
2025-26,Q4,March,Y60,MIDLANDS,24049.444444444445,21699.22222222222,90.22754048372565,19308.833333333332,17966.91111111111,93.05021593456074,184.3111111111111,124.9111111111111,67.77188328912467,1325.6666666666665,805.4555555555556,60.75852820383876,3230.6333333333337,2801.9444444444443,86.73050003955191,4
2025-26,Q4,March,Y63,NORTH EAST AND YORKSHIRE,22316.688888888886,19809.377777777776,88.76486057768427,18007.82222222222,16455.58888888889,91.38022735798765,220.0,143.8777777777778,65.3989898989899,1215.1333333333332,667.3222222222223,54.917613064867155,2873.7333333333336,2542.588888888889,88.47685550348751,4
2025-26,Q4,March,Y62,NORTH WEST,18562.62222222222,16870.533333333336,90.88442964236377,14460.666666666666,13504.488888888889,93.3877337759132,101.46666666666667,67.74444444444444,66.7652212001752,881.6111111111111,539.8444444444444,61.23385216459765,3118.8777777777777,2758.4555555555553,88.44384910526934,4
2025-26,Q4,March,Y59,SOUTH EAST,17699.01111111111,15808.566666666668,89.31892616724978,14425.98888888889,13188.377777777776,91.420961705687,48.25555555555556,25.822222222222223,53.51139765139305,1046.3555555555556,608.5555555555555,58.15953786688187,2178.411111111111,1985.8111111111114,91.15869364521544,4
2025-26,Q4,March,Y58,SOUTH WEST,12183.222222222223,11203.344444444443,91.95715419201268,10199.288888888888,9596.21111111111,94.08706053581078,12.577777777777778,6.688888888888889,53.18021201413428,626.6444444444444,372.27777777777777,59.408135040249654,1344.7111111111112,1228.1666666666665,91.33312400846111,4
